feature,importance
anymore,4.953273509495492e-05
waste,4.950422092346364e-05
calling,4.948682268161022e-05
bring,4.920089498781482e-05
dis,4.9027479337638765e-05
forever,4.9015149964232165e-05
uncle,4.8968462687833274e-05
junior,4.872524284858047e-05
wise,4.863466686552473e-05
sheen,4.85988185293901e-05
wear,4.851036231534745e-05
fun,4.845287993053722e-05
hoes just,4.838964602063625e-05
dangerous,4.829746942400235e-05
line,4.8100645872017e-05
mind,4.8084534659807424e-05
mouth,4.800537648614958e-05
respect,4.7831603348463276e-05
yu,4.778471358785035e-05
good pussy,4.764625452476276e-05
means,4.7611305357696765e-05
nasty,4.750640910470749e-05
exactly,4.7436381181485666e-05
totally,4.7434867881964164e-05
wet,4.7396323466262366e-05
paying,4.720476569018736e-05
128079,4.7135332189797834e-05
evidence,4.6989306946515934e-05
jail,4.698911879776784e-05
driving,4.698111219279413e-05
team,4.679328358528865e-05
darn,4.673756025584276e-05
young,4.6634243361472014e-05
baker,4.6613526403814184e-05
water,4.653392511973842e-05
sucks,4.6508955060004744e-05
election,4.646873784878845e-05
sound,4.6379862197581564e-05
points,4.625688641403589e-05
service,4.623828883247142e-05
naive,4.623591537245758e-05
corrupt,4.622972335181647e-05
twat,4.612567380794289e-05
outside,4.596473999794182e-05
beat,4.59446108253363e-05
rt 8220,4.592544958532262e-05
continue,4.587831877846682e-05
charlie sheen,4.5695058811526106e-05
type,4.568270892954705e-05
died,4.562737704984407e-05
butt,4.54952256979119e-05
killing,4.546080741080354e-05
doesnt,4.5343889848096985e-05
west,4.5338268090640296e-05
ma,4.533169944541942e-05
128563,4.529244834673187e-05
50,4.513743840509556e-05
known,4.5010435005493484e-05
list,4.4792773700592276e-05
hang,4.479229328460274e-05
words,4.4785989696770886e-05
retards,4.4777573284011024e-05
cracker,4.444345759164836e-05
2016,4.429880134886747e-05
years ago,4.418528857336651e-05
idk,4.4137496545630637e-05
adn,4.406825416599979e-05
good girl,4.381970391064441e-05
just like,4.379075817280192e-05
non,4.377619047127656e-05
smoke,4.3744224807732244e-05
eating pussy,4.371483595421412e-05
texas,4.369088685444928e-05
hypocrite,4.3637230609200094e-05
ignore,4.3603260761220514e-05
race,4.3482155476904315e-05
hates,4.334487178508551e-05
pop,4.3233171725446706e-05
posts,4.3186906591555696e-05
works,4.3147555875148495e-05
religious,4.31468957759366e-05
don care,4.3119754256370846e-05
decades,4.307649042757172e-05
bigot,4.306325689420103e-05
enjoy,4.3041385275596233e-05
ive,4.30328089002361e-05
half,4.297925833391803e-05
voting,4.2931817959180944e-05
road,4.256497045223449e-05
halloween,4.250597816478122e-05
jus,4.24398150363811e-05
fear,4.240787667507678e-05
bullshit,4.232623848798279e-05
wanted,4.2285849512421406e-05
female,4.216411781770414e-05
drug,4.21603618607326e-05
balls,4.215706429172512e-05
huge,4.21270721179188e-05
comes,4.1830074138313514e-05
morning,4.1439577551892766e-05
like bad,4.140373736796901e-05
teabagger,4.138494250615135e-05
destroy,4.135405771829925e-05
worth,4.126717816806364e-05
voted,4.12287963517145e-05
cake,4.122423849758828e-05
miss,4.1173414164131315e-05
population,4.111456980061971e-05
living,4.110544797462413e-05
families,4.104120927608599e-05
brownie,4.1030448317276435e-05
takes,4.101097684446018e-05
stories,4.095861445884395e-05
test,4.083973578228468e-05
married,4.083609316957219e-05
128076,4.080768653821904e-05
hand,4.080337209831484e-05
kinda,4.058318788747159e-05
throwing,4.0414888870484334e-05
ain shit,4.0406185236410153e-05
wasn,4.0354834546076356e-05
inside,4.033065353696859e-05
ass nigga,4.029138723781034e-05
128553 128553,4.016868110895797e-05
simple,4.0153956801410535e-05
stand,4.00902702282015e-05
finally,4.008366209137385e-05
eating,3.9966498754328124e-05
extreme,3.9965695258789676e-05
social,3.993873071319649e-05
bet,3.984073779779625e-05
talkin,3.9684810650385674e-05
correct,3.966278669439821e-05
wearing,3.9575881073859053e-05
hearing,3.9554823493580626e-05
statement,3.950596925484271e-05
8221 bitch,3.943227673349169e-05
complaining,3.942541363690145e-05
criminals,3.9362117640816414e-05
term,3.9348578216633993e-05
easy,3.932467979735894e-05
scared,3.931245140781362e-05
difference,3.926691600500908e-05
10,3.918053893383417e-05
write,3.916796618233197e-05
lower,3.915579011112392e-05
child,3.911809609067609e-05
boyfriend,3.90944579440316e-05
hoes hoes,3.906934605244699e-05
illegal,3.906733149710653e-05
picture,3.903653260826813e-05
low,3.9019078576970235e-05
defense,3.881990696005145e-05
company,3.880546708995927e-05
cunts,3.879130200869366e-05
wage,3.870881040524349e-05
piece,3.860626691204323e-05
fans,3.8603660252391303e-05
ratchet,3.8558604485464206e-05
white man,3.855427912325944e-05
profound,3.852431006871758e-05
terms,3.85146178094854e-05
dogs,3.8449278819142495e-05
just got,3.844041310893168e-05
knew,3.839656431482364e-05
waste time,3.8372480982278174e-05
chick,3.8337347391706515e-05
americans,3.8292619715498595e-05
lie,3.823024372334579e-05
100,3.814886123433624e-05
movie,3.8134261935080245e-05
research,3.8040942528884836e-05
coming,3.803868811753477e-05
posting,3.8035088372907324e-05
mess,3.799220034819059e-05
nonsense,3.7984540672376656e-05
answer,3.7948703291926896e-05
joebudden,3.7856878949222986e-05
homeless,3.763208534859679e-05
song,3.761221497016145e-05
org,3.757784896096283e-05
beautiful,3.7549977921620915e-05
bums,3.7525115624453084e-05
af,3.738981001351728e-05
destroying,3.736946366741476e-05
hes,3.736537073029039e-05
daily,3.730412852934543e-05
danger,3.724274150404235e-05
rid,3.717949764923182e-05
bitches http,3.7096349278244584e-05
pick,3.702818281105392e-05
teabaggers,3.6948778098442516e-05
thirsty,3.6924940912665314e-05
clearly,3.6872394902475245e-05
space,3.684344418023838e-05
trouble,3.6803642902831015e-05
parents,3.67562252648207e-05
128588,3.67483365995628e-05
9733,3.669911285857637e-05
longer,3.6667289366694776e-05
bitch lol,3.656823539983793e-05
sox,3.656412818460351e-05
cheat,3.653264056182432e-05
planet,3.6464360356648914e-05
claim,3.6363421757917636e-05
scary,3.630004170849774e-05
mentally,3.629741306047646e-05
donald,3.626031875693475e-05
offensive,3.618478378934495e-05
terrorists,3.618197781628942e-05
useful,3.6159765836219226e-05
native,3.61035471383108e-05
weird,3.6058352926743026e-05
telling,3.579027270191752e-05
everyday,3.578411187167949e-05
lack,3.572538549040104e-05
lane county,3.565229908809119e-05
class,3.5644797927047745e-05
suck,3.556391730944322e-05
names,3.550816343441205e-05
iphone ipad,3.549712533447396e-05
booty,3.5477333124767035e-05
huh,3.53784671834696e-05
dumb bitch,3.532116258989243e-05
128166,3.529119667178464e-05
30,3.528410052682691e-05
end,3.5072375355984e-05
sucking,3.5060860512201086e-05
spot,3.504991415347044e-05
doubt,3.495519380301074e-05
pig,3.4926087475670164e-05
truly,3.486869360158464e-05
pictures,3.485537645072617e-05
people use,3.480999396284949e-05
act like,3.467015099198134e-05
hella,3.4661288150827146e-05
drink,3.459398971504337e-05
block,3.455707431861702e-05
tl,3.455132141781573e-05
lies,3.4516690386893256e-05
just want,3.4501524839086234e-05
girlfriend,3.449275104185518e-05
like http,3.444992213949509e-05
market,3.4224240792833714e-05
caught,3.4215033172150624e-05
explain,3.420693611713461e-05
friend,3.418288274076781e-05
acts,3.414832322259922e-05
absolutely,3.411377639464038e-05
derek jeter,3.406464772304319e-05
key,3.4061841181065725e-05
ve got,3.3880217682187584e-05
completely,3.385113147942203e-05
128514 8221,3.378483093605089e-05
ppl,3.3645966303350704e-05
heads,3.3638320882698964e-05
whats,3.362069043247056e-05
walk,3.3610384813621816e-05
asked,3.3607788429612076e-05
ladies,3.358415216726422e-05
piss,3.351158393108221e-05
bit,3.3486655157726563e-05
11,3.3429949382514635e-05
large,3.34088777895463e-05
kelly,3.335442938099546e-05
ex,3.33162024641752e-05
questions,3.3315184764822076e-05
national,3.3314371907424846e-05
meet,3.33058097525474e-05
liberals,3.3275601011401903e-05
pregnant,3.326855419543024e-05
loves,3.326004100999335e-05
send,3.306123659558577e-05
mental,3.3055832087154985e-05
al,3.293050080262875e-05
drugs,3.2826148229131295e-05
fail,3.277645162097411e-05
shame,3.267442633980105e-05
moved,3.261221315443911e-05
sentence,3.24879879929332e-05
like hoe,3.2427992111427564e-05
people just,3.240919624282507e-05
happen,3.239137177319253e-05
lucky,3.2331240826574075e-05
really need,3.231515952355964e-05
anti,3.225521278649149e-05
shows,3.219033482449494e-05
speak,3.216114566114424e-05
dirty,3.213349608028289e-05
art,3.213170330111532e-05
hide,3.2083167153532285e-05
scum,3.2052802876045e-05
dropped,3.2032503233788016e-05
128525 128525,3.198691104405324e-05
born,3.1983774053021056e-05
arrogance,3.194742800959464e-05
custody,3.193081794852593e-05
handle,3.19140060767231e-05
mrs,3.191198722697315e-05
weed,3.190476934024642e-05
reasons,3.189448963733199e-05
star wars,3.181764705382654e-05
dare,3.1771990097367257e-05
kick,3.165130309351579e-05
created,3.162106098302551e-05
tells,3.1601702747429596e-05
print,3.153069810043371e-05
touch,3.144869786327012e-05
facebook,3.138924164739278e-05
useless,3.138900204785765e-05
card,3.132399186025675e-05
heart,3.118971689041038e-05
heard,3.114905757157642e-05
sell,3.11472537358001e-05
basically,3.1135307852063346e-05
listen,3.113273487752777e-05
legislature,3.112854322239291e-05
mother,3.111001141622624e-05
coons,3.109706367180709e-05
refute,3.108051344948833e-05
